model,num_steps,correct,total,accuracy,accuracy_pct
gpt-4o,3,7,14,0.5,50.0
gpt-4o,4,174,280,0.6214285714285714,62.1
gpt-4o,5,5,6,0.8333333333333334,83.3
gpt-4o-mini,4,174,266,0.6541353383458647,65.4
gpt-4o-mini,5,18,34,0.5294117647058824,52.9
gpt-5,4,22,37,0.5945945945945946,59.5
gpt-5,5,113,196,0.576530612244898,57.7
gpt-5,6,38,56,0.6785714285714286,67.9
gpt-5,7,6,10,0.6,60.0
gpt-5,8,0,1,0.0,0.0
gpt-5-mini,4,75,120,0.625,62.5
gpt-5-mini,5,118,180,0.6555555555555556,65.6
o3-mini,3,72,130,0.5538461538461539,55.4
o3-mini,4,107,164,0.6524390243902439,65.2
o3-mini,5,6,6,1.0,100.0
o4-mini,3,1,3,0.3333333333333333,33.3
o4-mini,4,134,228,0.5877192982456141,58.8
o4-mini,5,55,67,0.8208955223880597,82.1
