model,archetype,count,percentage
gpt-5,funnel_to_util_bounce,334,27.856547122602173
gpt-5,bounce_back,241,20.100083402835697
gpt-5,stable,213,17.764804003336113
gpt-5,progressive_drift,205,17.097581317764803
gpt-5,funnel_to_util_stay,123,10.258548790658882
gpt-5,other,50,4.170141784820683
gpt-5,oscillation,33,2.7522935779816518
meta-llama/Llama-3.3-70B-Instruct-Turbo,funnel_to_util_bounce,318,26.5
meta-llama/Llama-3.3-70B-Instruct-Turbo,stable,212,17.666666666666668
meta-llama/Llama-3.3-70B-Instruct-Turbo,progressive_drift,204,17.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,bounce_back,192,16.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,funnel_to_util_stay,180,15.0
meta-llama/Llama-3.3-70B-Instruct-Turbo,other,63,5.25
meta-llama/Llama-3.3-70B-Instruct-Turbo,oscillation,31,2.5833333333333335
Qwen/Qwen2.5-72B-Instruct-Turbo,progressive_drift,254,21.219715956558062
Qwen/Qwen2.5-72B-Instruct-Turbo,funnel_to_util_bounce,244,20.384294068504595
Qwen/Qwen2.5-72B-Instruct-Turbo,funnel_to_util_stay,239,19.96658312447786
Qwen/Qwen2.5-72B-Instruct-Turbo,stable,196,16.374269005847953
Qwen/Qwen2.5-72B-Instruct-Turbo,bounce_back,189,15.789473684210526
Qwen/Qwen2.5-72B-Instruct-Turbo,other,52,4.344193817878028
Qwen/Qwen2.5-72B-Instruct-Turbo,oscillation,23,1.921470342522974
