model,dataset,step,kantian_deontology,benthamite_act_utilitarianism,aristotelian_virtue_ethics,scanlonian_contractualism,gauthierian_contractarianism
gpt-5,ALL,ALL,25.81,22.92,20.51,20.14,10.63
gpt-5,ALL,1,27.33,20.04,19.57,21.5,11.56
gpt-5,ALL,2,23.53,21.21,22.43,21.14,11.69
gpt-5,ALL,3,24.16,28.17,20.84,17.38,9.46
gpt-5,ALL,4,28.21,22.27,19.2,20.52,9.8
gpt-5,ethics,ALL,25.24,22.73,20.86,19.96,11.2
gpt-5,moral_stories,ALL,27.75,23.29,20.57,18.71,9.68
gpt-5,social_chem_101,ALL,24.42,22.74,20.11,21.74,10.99
meta-llama/Llama-3.3-70B-Instruct-Turbo,ALL,ALL,21.19,22.76,24.26,20.82,10.98
meta-llama/Llama-3.3-70B-Instruct-Turbo,ALL,1,23.97,19.34,24.49,20.6,11.61
meta-llama/Llama-3.3-70B-Instruct-Turbo,ALL,2,20.4,19.85,27.44,20.58,11.74
meta-llama/Llama-3.3-70B-Instruct-Turbo,ALL,3,17.69,28.38,20.03,22.63,11.26
meta-llama/Llama-3.3-70B-Instruct-Turbo,ALL,4,22.69,23.45,25.06,19.47,9.33
meta-llama/Llama-3.3-70B-Instruct-Turbo,ethics,ALL,19.38,23.45,25.6,20.0,11.57
meta-llama/Llama-3.3-70B-Instruct-Turbo,moral_stories,ALL,23.84,22.94,23.93,19.43,9.86
meta-llama/Llama-3.3-70B-Instruct-Turbo,social_chem_101,ALL,20.34,21.87,23.24,23.03,11.52
Qwen/Qwen2.5-72B-Instruct-Turbo,ALL,ALL,20.89,23.86,22.29,20.58,12.37
Qwen/Qwen2.5-72B-Instruct-Turbo,ALL,1,23.87,20.68,21.41,20.11,13.93
Qwen/Qwen2.5-72B-Instruct-Turbo,ALL,2,19.9,21.44,26.36,19.38,12.92
Qwen/Qwen2.5-72B-Instruct-Turbo,ALL,3,17.24,28.69,18.33,22.89,12.85
Qwen/Qwen2.5-72B-Instruct-Turbo,ALL,4,22.55,24.64,23.07,19.95,9.78
Qwen/Qwen2.5-72B-Instruct-Turbo,ethics,ALL,19.6,23.84,23.19,20.11,13.25
Qwen/Qwen2.5-72B-Instruct-Turbo,moral_stories,ALL,23.51,24.31,21.9,19.31,10.97
Qwen/Qwen2.5-72B-Instruct-Turbo,social_chem_101,ALL,19.57,23.45,21.79,22.32,12.88
