model,dataset,num_steps,final_morality,accuracy_rectified,n_samples
gpt-4o,ethics,3,87.85714285714286,28.57142857142857,7
gpt-4o,ethics,4,80.17241379310344,54.11764705882353,85
gpt-4o,ethics,5,79.16666666666667,66.66666666666666,6
gpt-5,ethics,4,84.0,50.0,10
gpt-5,ethics,5,83.7719298245614,51.78571428571429,56
gpt-5,ethics,6,78.8,33.33333333333333,24
gpt-5,ethics,7,74.375,37.5,8
o3-mini,ethics,3,85.85365853658537,19.51219512195122,41
o3-mini,ethics,4,81.49122807017544,50.877192982456144,57
gpt-4o-mini,ethics,4,81.02564102564102,47.43589743589743,78
gpt-4o-mini,ethics,5,79.54545454545455,77.27272727272727,22
gpt-5-mini,ethics,4,86.57894736842105,61.111111111111114,36
gpt-5-mini,ethics,5,80.08064516129032,54.09836065573771,61
o4-mini,ethics,4,86.60493827160494,41.02564102564102,78
o4-mini,ethics,5,81.94444444444444,35.294117647058826,17
gpt-4o,moral_stories,3,90.0,100.0,4
gpt-4o,moral_stories,4,91.45833333333333,94.56521739130434,92
gpt-5,moral_stories,4,84.72222222222223,100.0,18
gpt-5,moral_stories,5,91.015625,100.0,64
gpt-5,moral_stories,6,90.55555555555556,94.44444444444444,18
o3-mini,moral_stories,3,90.0,100.0,38
o3-mini,moral_stories,4,89.3859649122807,96.22641509433963,53
o3-mini,moral_stories,5,85.0,100.0,3
gpt-4o-mini,moral_stories,4,88.83838383838383,72.44897959183673,98
gpt-5-mini,moral_stories,4,90.73170731707317,97.5,40
gpt-5-mini,moral_stories,5,89.0677966101695,96.42857142857143,56
o4-mini,moral_stories,4,80.5,95.0,60
o4-mini,moral_stories,5,89.375,94.87179487179486,39
gpt-4o,social_chem_101,3,88.33333333333333,66.66666666666666,3
gpt-4o,social_chem_101,4,82.98969072164948,88.65979381443299,97
gpt-5,social_chem_101,4,85.0,77.77777777777779,9
gpt-5,social_chem_101,5,88.06666666666666,90.66666666666666,75
gpt-5,social_chem_101,6,84.61538461538461,76.92307692307693,13
o3-mini,social_chem_101,3,86.22448979591837,85.71428571428571,49
o3-mini,social_chem_101,4,84.1,89.58333333333334,48
gpt-4o-mini,social_chem_101,4,84.15730337078652,88.76404494382022,89
gpt-4o-mini,social_chem_101,5,84.0909090909091,81.81818181818183,11
gpt-5-mini,social_chem_101,4,87.6829268292683,92.6829268292683,41
gpt-5-mini,social_chem_101,5,86.01694915254237,84.7457627118644,59
o4-mini,social_chem_101,4,85.05747126436782,87.35632183908046,87
o4-mini,social_chem_101,5,80.55555555555556,100.0,9
